,ROUTE 7,,
HQDeparture,Park Zabeel View 1,Park Zabeel View 2,HQArrival
00:00,00:14,00:15,00:37
00:25,00:39,00:40,01:09
00:50,01:04,01:05,01:26
01:15,01:29,01:30,01:51
01:45,01:59,02:00,02:21
02:15,02:29,02:30,02:51
02:45,02:59,03:00,03:21
03:15,03:29,03:30,03:51
03:45,03:59,04:00,04:21
04:15,04:29,04:30,04:51
04:40,04:54,04:55,05:16
05:05,05:19,05:20,05:41
05:30,05:44,05:45,06:06
05:55,06:09,06:10,06:31
06:20,06:34,06:35,06:56
06:45,06:59,07:00,07:21
07:10,07:24,07:25,07:46
07:35,07:49,07:50,08:11
08:00,08:16,08:17,08:38
08:25,08:41,08:42,09:03
08:50,09:06,09:07,09:28
09:15,09:31,09:32,09:53
09:45,10:01,10:02,10:23
10:15,10:31,10:32,10:53
10:45,11:01,11:02,11:23
11:10,11:26,11:27,11:48
11:35,11:51,11:52,12:13
12:00,12:16,12:17,12:38
12:25,12:41,12:42,13:03
12:50,13:06,13:07,13:28
13:15,13:31,13:32,13:53
13:40,13:56,13:57,14:18
14:05,14:21,14:22,14:43
14:30,14:46,14:47,15:08
14:55,15:11,15:12,15:33
15:20,15:36,15:37,16:05
15:45,16:01,16:02,16:30
16:10,16:26,16:27,16:55
16:35,16:51,16:52,17:22
17:05,17:21,17:22,17:50
17:35,17:51,17:52,18:20
18:10,18:28,18:29,18:59
18:40,18:58,18:59,19:29
19:05,19:25,19:26,19:56
19:30,19:50,19:51,20:21
19:55,20:13,20:14,20:44
20:20,20:38,20:39,21:09
20:50,21:08,21:09,21:39
21:15,21:33,21:34,22:04
21:40,21:58,21:59,22:29
22:05,22:23,22:24,22:52
22:30,22:46,22:47,23:08
22:55,23:11,23:12,23:33
23:20,23:35,23:36,23:57
23:45,00:00,00:01,00:22
